_
Alabama,Memphis
Bethune-Cookman,Johnson FL
Boston College,Maine
Northeastern,Boston Univ
Butler,Kennesaw
UCF,Mercer
C Michigan,Siena Hts
Col Charleston,Siena
Cincinnati,Savannah St
Clemson,W Carolina
Coastal Car,Piedmont Bap
Connecticut,Colgate
Citadel,Oglethorpe
Davidson,Charleston So
Dayton,Ball St
Bowling Green,Drexel
Duke,Elon
Miami OH,Fordham
Furman,Bob Jones
G Washington,Howard
George Mason,Lafayette
Georgia,Bryant
Georgia St,Carver Bib
Hartford,Central Conn
Harvard,MIT
Hofstra,Army
Indiana St,Indiana
Kentucky,Utah Valley
Liberty,Summit
Marshall,TN Martin
Massachusetts,MA Lowell
MD E Shore,Valley Forge
Miami FL,Gardner Webb
Michigan St,North Florida
Monmouth NJ,Bucknell
Navy,Pittsburgh
Charlotte,Methodist
New Hampshire,Wheelock
NC A&T,Greensboro
NC State,VMI
North Carolina,Northern Iowa
Oakland,IPFW
Ohio St,Robert Morris
Old Dominion,Towson
Penn St,Campbell
Providence,Houston Bap
Purdue,SIUE
Rhode Island,UNC Asheville
Delaware,Richmond
Rider,Hampton
Rutgers,City Col NY
Seton Hall,F Dickinson
South Florida,FL Atlantic
Niagara,St Bonaventure
St John's,New Orleans
Syracuse,Cornell
Maryland,Stony Brook
Tennessee,Presbyterian
VA Commonwealth,Grambling
Villanova,Columbia
Virginia,UNC Greensboro
Virginia Tech,Detroit
Ga Southern,Wake Forest
S Illinois,Winthrop
South Carolina,Wofford
Xavier,Morehead St
High Point,William & Mary
Holy Cross,Sacred Heart
Albany NY,Iona
Binghamton,Morgan St
N Kentucky,ETSU
Arkansas,Samford
Auburn,Norfolk St
UAB,Jacksonville
Abilene Chr,Randall
Baylor,Cent Arkansas
Creighton,Yale
Evansville,Arkansas St
Houston,McNeese St
Illinois,Southern Univ
IL Chicago,NC Central
Iowa,Chicago St
Jackson St,Millsaps
Jacksonville St,TN Wesleyan
Kansas,Tennessee St
Kansas St,American Univ
Louisiana Tech,UT Tyler
Loyola-Chicago,Wright St
LSU,Alcorn St
Marquette,Mt St Mary's
MTSU,Trevecca Naz
Minnesota,SC Upstate
Mississippi,ULL
Mississippi St,Alabama St
Missouri,Iowa St
Murray St,Brescia
Northwestern,Loyola MD
Oklahoma St,Pepperdine
Oral Roberts,Avila
E Kentucky,Rice
SE Louisiana,Centenary
SMU,UMBC
St Louis,Seattle
TCU,ULM
Texas,Northwestern LA
Texas Tech,South Alabama
Tulane,Long Island
Lamar,Tulsa
Nicholls St,UTRGV
Valparaiso,North Park
Vanderbilt,Austin Peay
Missouri St,WKU
Wichita St,Missouri KC
Wisconsin,S Carolina St
Lipscomb,Emory
S Dakota St,UC Irvine
Arizona,Northern Arizona
Arizona St,Idaho St
Boise St,Eastern Oregon
Colorado,N Colorado
Colorado St,CS Sacramento
Grand Canyon,Florida A&M
Montana,Whitworth
Montana St,NE Omaha
UTEP,Louisiana Col
Utah,Prairie View
Weber St,Utah St
Wyoming,Chattanooga
UC Riverside,California
E Washington,Walla Walla
Gonzaga,TX Southern
Nevada,Idaho
CS Northridge,Life Pacific
Oregon,Coppin St
Oregon St,Southern Utah
San Diego St,San Diego Chr
Long Beach St,San Francisco
Santa Clara,La Verne
Stanford,Cal Poly
USC,CS Fullerton
Washington,Belmont
CS Bakersfield,Whittier
Hawaii,Ark Pine Bluff
North Dakota,Troy
E Michigan,Spring Arbor
Southern Miss,Southern N.O.
Incarnate Word,SW Univ TX
James Madison,Bridgewater VA
New Mexico St,East Central OK
Fresno St,UC Santa Cruz
Stetson,Webber
WI Milwaukee,WI LaCrosse
North Texas,Eureka
Florida Intl,FL Memorial
Tennessee Tech,Midway
Delaware St,Cairn
Radford,Georgia SW
SE Missouri St,MO Baptist
TAM C. Christi,Our Lady Lake
Texas A&M,West Virginia
UCLA,Georgia Tech
Akron,Cleveland St
Appalachian St,Toccoa Falls
Brown,J&W RI
Buffalo,Canisius
Duke,Utah Valley
Duquesne,St Francis NY
Elon,Peace
Fairfield,Penn
La Salle,St Peter's
Lehigh,Marist
Michigan,North Florida
UNC Wilmington,NC Wesleyan
Ohio,Alabama A&M
Presbyterian,Johnson TN
Toledo,St Joseph's PA
W Michigan,Siena Hts
Kent,Youngstown St
Quinnipiac,Dartmouth
Wagner,NJIT
SF Austin,Longwood
FL Gulf Coast,Illinois St
Bradley,IUPUI
Notre Dame,DePaul
Drake,Coe
Nebraska,E Illinois
Sam Houston St,UT Tyler
UT Arlington,Loy Marymount
South Dakota,Mayville St
BYU,MS Valley St
New Mexico,N New Mexico
UNLV,Florida A&M
Portland St,Portland
UC Santa Barbara,N Dakota St
St Mary's CA,St Francis PA
Ouachita,Ark Little Rock
W Illinois,St Mary's MN
Boston College,S Carolina St
Butler,Princeton
Clemson,NC A&T
East Carolina,Coppin St
E Michigan,MI Dearborn
Stetson,Florida Intl
Georgetown,Jacksonville
Harvard,Massachusetts
Indiana,Howard
Kentucky,Vermont
Louisville,George Mason
Maryland,MD E Shore
Mercer,Toccoa Falls
Miami FL,Navy
NC State,Charleston So
Northeastern,Wentworth Tech
Ohio St,Radford
Penn St,F Dickinson
Purdue,Chicago St
Rutgers,Central Conn
Seton Hall,Monmouth NJ
Virginia Tech,Citadel
Hampton,Bluefield VA
IPFW,Defiance
SC Upstate,Allen
N Kentucky,Wilmington OH
Arkansas,Bucknell
Creighton,Alcorn St
Illinois,TN Martin
Iowa,Alabama St
Loyola-Chicago,Eureka
Missouri KC,Haskell
Le Tourneau,Northwestern LA
Oklahoma,NE Omaha
SMU,ULM
UT San Antonio,East Central OK
Wisconsin,Yale
Cent Arkansas,Univ Ozarks
Lipscomb,Morehead St
Air Force,Texas St
Arizona,UMBC
Boise St,Southern Utah
UC Irvine,Denver
California,Cal Poly
San Diego,San Jose St
Seattle,Puget Sound
Stanford,Pacific
Washington,E Washington
Washington St,TX Southern
Hawaii,North Dakota
Troy,Ark Pine Bluff
Appalachian St,Bridgewater VA
S Dakota St,Mary ND
Wofford,Wash & Lee
