Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 17 1936,Thu,Centenary (LA),21,@,Louisiana College,0,
2,1,Sep 17 1936,Thu,Grinnell,7,@,Central (Iowa),6,
3,1,Sep 17 1936,Thu,Virginia Tech,16,,Roanoke,7,
4,1,Sep 18 1936,Fri,Loyola Marymount,27,,California Tech,6,
5,1,Sep 18 1936,Fri,Mercer,40,,Georgia Southern,0,
6,1,Sep 18 1936,Fri,Richmond,6,@,Newport News,0,
7,1,Sep 19 1936,Sat,Centenary (LA),20,,Northwestern State,0,
8,1,Sep 19 1936,Sat,Citadel,33,,Newberry,0,
9,1,Sep 19 1936,Sat,Clemson,19,,Presbyterian,0,
10,1,Sep 19 1936,Sat,Duke,13,,Davidson,0,
11,1,Sep 19 1936,Sat,Kentucky,54,,Maryville (TN),3,
12,1,Sep 19 1936,Sat,Mississippi,45,,Union (Tennessee),0,
13,1,Sep 19 1936,Sat,North Carolina State,12,,Elon,0,
14,1,Sep 19 1936,Sat,Rice,33,@,Texas A&M-Kingsville,0,
15,1,Sep 19 1936,Sat,South Carolina,38,,Erskine,0,
16,1,Sep 19 1936,Sat,Texas Christian,6,@,Howard Payne,0,
17,1,Sep 19 1936,Sat,Texas Tech,26,@,Texas Wesleyan,7,
18,1,Sep 19 1936,Sat,Virginia Military Institute,19,,Wofford,0,
19,1,Sep 19 1936,Sat,West Virginia,7,,Waynesburg,0,
20,1,Sep 20 1936,Sun,San Francisco,6,,St. Mary's (Texas),6,
21,1,Sep 21 1936,Mon,Temple,18,@,St. Joseph's (Pennsylvania),0,
22,2,Sep 25 1936,Fri,Arizona,32,,Brigham Young,6,
23,2,Sep 25 1936,Fri,Auburn,45,,Birmingham-Southern,0,
24,2,Sep 25 1936,Fri,California,14,,Pacific,0,
25,2,Sep 25 1936,Fri,Creighton,25,,South Dakota,0,
26,2,Sep 25 1936,Fri,Detroit Mercy,40,,Western Michigan,0,
27,2,Sep 25 1936,Fri,Duquesne,14,,Waynesburg,0,
28,2,Sep 25 1936,Fri,George Washington,27,,Emory & Henry,0,
29,2,Sep 25 1936,Fri,Georgia Tech,55,,Presbyterian,0,
30,2,Sep 25 1936,Fri,Grinnell,12,,Cornell College,6,
31,2,Sep 25 1936,Fri,Kentucky,21,@,Xavier,0,
32,2,Sep 25 1936,Fri,Loyola (LA),33,,Spring Hill,0,
33,2,Sep 25 1936,Fri,Loyola Marymount,20,,Redlands,7,
34,2,Sep 25 1936,Fri,Miami (FL),44,,Georgia Southern,0,
35,2,Sep 25 1936,Fri,New Mexico State,58,,Panhandle State,6,
36,2,Sep 25 1936,Fri,Oregon,14,,Portland,0,
37,2,Sep 25 1936,Fri,Saint Louis,31,@,Missouri-Rolla,18,
38,2,Sep 25 1936,Fri,Temple,50,,Centre,7,
39,2,Sep 25 1936,Fri,UCLA,21,,Occidental,0,
40,2,Sep 25 1936,Fri,Washburn,13,,Wichita State,6,
41,2,Sep 26 1936,Sat,Alabama,34,,Samford,0,
42,2,Sep 26 1936,Sat,Arizona State,12,@,Whittier,0,
43,2,Sep 26 1936,Sat,Arkansas,53,,Pittsburg State,0,
44,2,Sep 26 1936,Sat,Baylor,13,,Hardin-Simmons,0,
45,2,Sep 26 1936,Sat,Bucknell,6,,Ursinus,0,
46,2,Sep 26 1936,Sat,California,39,,California-Davis,0,
47,2,Sep 26 1936,Sat,Centenary (LA),21,,Illinois Wesleyan,7,
48,2,Sep 26 1936,Sat,Chicago,34,,Lawrence,0,
49,2,Sep 26 1936,Sat,Citadel,13,@,Erskine,6,
50,2,Sep 26 1936,Sat,Clemson,20,,Virginia Tech,0,
51,2,Sep 26 1936,Sat,Colorado State,13,,Western State,0,
52,2,Sep 26 1936,Sat,Connecticut,27,@,Brown,0,
53,2,Sep 26 1936,Sat,Cornell,74,,Alfred,0,
54,2,Sep 26 1936,Sat,Dartmouth,58,,Norwich,0,
55,2,Sep 26 1936,Sat,Davidson,14,@,North Carolina State,6,
56,2,Sep 26 1936,Sat,Denver,20,,Colorado Mines,8,
57,2,Sep 26 1936,Sat,Drake,52,,Simpson,6,
58,2,Sep 26 1936,Sat,Duke,6,,Colgate,0,
59,2,Sep 26 1936,Sat,Furman,31,@,Wofford,0,
60,2,Sep 26 1936,Sat,Georgia,15,,Mercer,6,
61,2,Sep 26 1936,Sat,Holy Cross,45,,Bates,0,
62,2,Sep 26 1936,Sat,Idaho,25,@,Whitman,6,
63,2,Sep 26 1936,Sat,Illinois,9,,DePaul,6,
64,2,Sep 26 1936,Sat,Iowa,14,,Carleton,0,
65,2,Sep 26 1936,Sat,Kansas State,13,,Fort Hays State,0,
66,2,Sep 26 1936,Sat,Louisiana State,20,,Rice,7,
67,2,Sep 26 1936,Sat,Manhattan,32,,St. Bonaventure,7,
68,2,Sep 26 1936,Sat,Michigan State,27,,Wayne State,0,
69,2,Sep 26 1936,Sat,Minnesota,14,@,Washington,7,
70,2,Sep 26 1936,Sat,Mississippi State,20,,Millsaps,0,
