Rk,School,G,W,L
1,Abilene Christian,18,11,7
2,Air Force,16,6,10
3,Akron,15,7,8
4,Alabama A&M,17,2,15
5,Alabama-Birmingham,17,12,5
6,Alabama State,16,2,14
7,Alabama,16,10,6
8,Albany (NY),18,13,5
9,Alcorn State,17,4,13
10,American,16,4,12
11,Appalachian State,18,8,10
12,Arizona State,16,13,3
13,Arizona,17,13,4
14,Arkansas-Little Rock,18,5,13
15,Arkansas-Pine Bluff,17,3,14
16,Arkansas State,18,6,12
17,Arkansas,16,11,5
18,Army,16,10,6
19,Auburn,16,15,1
20,Austin Peay,17,9,8
21,Ball State,16,11,5
22,Baylor,16,11,5
23,Belmont,18,12,6
24,Bethune-Cookman,17,8,9
25,Binghamton,17,9,8
26,Boise State,17,14,3
27,Boston College,17,11,6
28,Boston University,16,8,8
29,Bowling Green State,16,11,5
30,Bradley,18,13,5
31,Brigham Young,18,14,4
32,Brown,13,7,6
33,Bryant,18,2,16
34,Bucknell,18,10,8
35,Buffalo,16,11,5
36,Butler,18,12,6
37,Cal Poly,17,6,11
38,Cal State Bakersfield,17,7,10
39,Cal State Fullerton,15,10,5
40,Cal State Northridge,16,3,13
41,UC-Davis,16,11,5
42,UC-Irvine,19,6,13
43,UC-Riverside,17,5,12
44,UC-Santa Barbara,16,12,4
45,University of California,17,7,10
46,Campbell,16,8,8
47,Canisius,17,9,8
48,Central Arkansas,18,9,9
49,Central Connecticut State,18,8,10
50,Central Florida,17,12,5
51,Central Michigan,16,12,4
52,Charleston Southern,15,6,9
53,Charlotte,15,5,10
54,Chattanooga,17,6,11
55,Chicago State,19,2,17
56,Cincinnati,16,14,2
57,Citadel,16,5,11
58,Clemson,16,14,2
59,Cleveland State,17,4,13
60,Coastal Carolina,18,7,11
61,Colgate,16,8,8
62,College of Charleston,17,12,5
63,Colorado State,18,9,9
64,Colorado,17,10,7
65,Columbia,13,3,10
66,Connecticut,16,9,7
67,Coppin State,18,1,17
68,Cornell,13,6,7
69,Creighton,17,14,3
70,Dartmouth,13,4,9
71,Davidson,15,8,7
72,Dayton,16,8,8
73,Delaware State,18,2,16
74,Delaware,18,10,8
75,Denver,17,7,10
76,DePaul,16,8,8
77,Detroit Mercy,18,5,13
78,Drake,18,10,8
79,Drexel,18,7,11
