TEAM,RATING,WINS,LOSSES
AIR FORCE,-4.342,5.000,7.000
AKRON,1.500,7.000,7.000
ALABAMA,17.758,13.000,1.000
APPALACHIAN STATE,8.312,9.000,4.000
ARIZONA,1.382,7.000,6.000
ARIZONA STATE,1.559,7.000,6.000
ARKANSAS,-7.691,4.000,8.000
ARKANSAS STATE,3.223,7.000,5.000
ARMY,11.271,10.000,3.000
AUBURN,10.236,10.000,4.000
BALL STATE,-13.565,2.000,10.000
BAYLOR,-16.188,1.000,11.000
BOISE STATE,13.324,11.000,3.000
BOSTON COLLEGE,1.656,7.000,6.000
BOWLING GREEN STATE,-13.481,2.000,10.000
BRIGHAM YOUNG,-8.797,4.000,9.000
BUFFALO,-0.558,6.000,6.000
CALIFORNIA,-4.345,5.000,7.000
CENTRAL MICHIGAN,4.942,8.000,5.000
CHARLOTTE,-16.196,1.000,11.000
CINCINNATI,-7.665,4.000,8.000
CLEMSON,15.221,12.000,2.000
COASTAL CAROLINA,-10.701,3.000,9.000
COLORADO,-4.402,5.000,7.000
COLORADO STATE,1.417,7.000,6.000
CONNECTICUT,-10.621,3.000,9.000
DUKE,1.463,7.000,6.000
EAST CAROLINA,-10.628,3.000,9.000
EASTERN MICHIGAN,-4.519,5.000,7.000
FLORIDA,-6.339,4.000,7.000
FLORIDA ATLANTIC,11.412,11.000,3.000
FLORIDA INTERNATIONAL,4.973,8.000,5.000
FLORIDA STATE,1.549,7.000,6.000
FRESNO STATE,10.143,10.000,4.000
GEORGIA,16.753,13.000,2.000
GEORGIA SOUTHERN,-13.559,2.000,10.000
GEORGIA STATE,3.294,7.000,5.000
GEORGIA TECH,-2.427,5.000,6.000
HAWAII,-10.697,3.000,9.000
HOUSTON,3.534,7.000,5.000
IDAHO,-7.758,4.000,8.000
ILLINOIS,-13.620,2.000,10.000
INDIANA,-4.197,5.000,7.000
IOWA,5.380,8.000,5.000
IOWA STATE,5.131,8.000,5.000
KANSAS,-16.188,1.000,11.000
KANSAS STATE,5.076,8.000,5.000
KENT STATE,-13.507,2.000,10.000
KENTUCKY,1.476,7.000,6.000
LOUISIANA TECH,1.282,7.000,6.000
LOUISIANA-LAFAYETTE,-4.470,5.000,7.000
LOUISIANA-MONROE,-7.848,4.000,8.000
LOUISVILLE,5.119,8.000,5.000
LSU,8.430,9.000,4.000
MARSHALL,5.090,8.000,5.000
MARYLAND,-7.486,4.000,8.000
MASSACHUSETTS,-7.673,4.000,8.000
MEMPHIS,13.059,10.000,3.000
MIAMI FL,11.494,10.000,3.000
MIAMI OH,-4.349,5.000,7.000
MICHIGAN,5.411,8.000,5.000
MICHIGAN STATE,11.669,10.000,3.000
MIDDLE TENNESSEE STATE,1.327,7.000,6.000
MINNESOTA,-4.398,5.000,7.000
MISSISSIPPI STATE,8.430,9.000,4.000
MISSOURI,1.505,7.000,6.000
NAVY,1.712,7.000,6.000
NEBRASKA,-7.756,4.000,8.000
NEVADA,-10.608,3.000,9.000
NEVADA-LAS VEGAS,-4.287,5.000,7.000
NEW MEXICO,-10.719,3.000,9.000
NEW MEXICO STATE,1.353,7.000,6.000
NORTH CAROLINA,-10.689,3.000,9.000
NORTH CAROLINA STATE,8.432,9.000,4.000
NORTH TEXAS,8.309,9.000,5.000
NORTHERN ILLINOIS,5.006,8.000,5.000
NORTHWESTERN,11.664,10.000,3.000
NOTRE DAME,11.608,10.000,3.000
OHIO,8.259,9.000,4.000
OHIO STATE,15.367,12.000,2.000
OKLAHOMA,14.384,12.000,2.000
OKLAHOMA STATE,11.683,10.000,3.000
OLD DOMINION,-4.459,5.000,7.000
OLE MISS,-0.481,6.000,6.000
OREGON,1.439,7.000,6.000
OREGON STATE,-16.210,1.000,11.000
PENN STATE,14.387,11.000,2.000
PITT,-4.214,5.000,7.000
PURDUE,1.562,7.000,6.000
RICE,-16.330,1.000,11.000
RUTGERS,-7.551,4.000,8.000
SAN DIEGO STATE,11.332,10.000,3.000
SAN JOSE STATE,-14.535,2.000,11.000
SMU,1.480,7.000,6.000
SOUTH ALABAMA,-7.732,4.000,8.000
SOUTH CAROLINA,8.477,9.000,4.000
SOUTH FLORIDA,13.006,10.000,2.000
SOUTHERN MISSISSIPPI,4.881,8.000,5.000
STANFORD,8.638,9.000,5.000
SYRACUSE,-7.695,4.000,8.000
TEMPLE,1.444,7.000,6.000
TENNESSEE,-7.613,4.000,8.000
TEXAS,1.511,7.000,6.000
TEXAS A&M,1.499,7.000,6.000
TEXAS CHRISTIAN,14.181,11.000,3.000
TEXAS STATE,-13.557,2.000,10.000
TEXAS TECH,-2.377,6.000,7.000
TOLEDO,11.275,11.000,3.000
TROY,14.060,11.000,2.000
TULANE,-4.302,5.000,7.000
TULSA,-13.659,2.000,10.000
UAB,4.742,8.000,5.000
UCF,18.304,13.000,0.000
UCLA,-2.385,6.000,7.000
USC,11.748,11.000,3.000
UTAH,1.424,7.000,6.000
UTAH STATE,-2.355,6.000,7.000
UTEP,-18.841,0.000,12.000
UTSA,1.207,6.000,5.000
VANDERBILT,-4.259,5.000,7.000
VIRGINIA,-2.237,6.000,7.000
VIRGINIA TECH,8.464,9.000,4.000
WAKE FOREST,5.162,8.000,5.000
WASHINGTON,11.472,10.000,3.000
WASHINGTON STATE,8.424,9.000,4.000
WEST VIRGINIA,1.402,7.000,6.000
WESTERN KENTUCKY,-2.533,6.000,7.000
WESTERN MICHIGAN,-0.554,6.000,6.000
WISCONSIN,17.965,13.000,1.000
WYOMING,4.984,8.000,5.000
FCS,-80.892,9.000,89.000
