RANK,TEAM,RATING,WINS,LOSSES
1,UCF,24.1317,13,0
2,ALABAMA,23.4170,13,1
3,WISCONSIN,23.1856,13,1
4,GEORGIA,22.8937,13,2
5,CLEMSON,21.7598,12,2
6,OHIO STATE,21.7110,12,2
7,OKLAHOMA,21.3173,12,2
8,PENN STATE,20.8386,11,2
9,TEXAS CHRISTIAN,20.2381,11,3
10,TROY,20.0735,11,2
11,BOISE STATE,19.6699,11,3
12,SOUTH FLORIDA,19.2692,10,2
13,MEMPHIS,19.0517,10,3
14,NOTRE DAME,18.9475,10,3
15,MICHIGAN STATE,18.6347,10,3
16,MIAMI FL,18.5647,10,3
17,USC,18.4584,11,3
18,AUBURN,18.0522,10,4
19,NORTHWESTERN,17.9339,10,3
20,FLORIDA ATLANTIC,17.6463,11,3
21,OKLAHOMA STATE,17.5426,10,3
22,WASHINGTON,17.2228,10,3
23,TOLEDO,16.9317,11,3
24,SAN DIEGO STATE,16.7809,10,3
25,ARMY,16.6873,10,3
26,FRESNO STATE,16.1572,10,4
27,LSU,14.6809,9,4
28,STANFORD,14.6720,9,5
29,WASHINGTON STATE,14.5803,9,4
30,MISSISSIPPI STATE,14.5205,9,4
31,NORTH CAROLINA STATE,13.8934,9,4
32,SOUTH CAROLINA,13.6335,9,4
33,VIRGINIA TECH,13.3475,9,4
34,NORTH TEXAS,12.8451,9,5
35,IOWA,12.1869,8,5
36,APPALACHIAN STATE,11.8055,9,4
37,OHIO,11.1047,9,4
38,IOWA STATE,10.8126,8,5
39,WAKE FOREST,10.3212,8,5
40,MICHIGAN,10.2983,8,5
41,LOUISVILLE,9.4210,8,5
42,KANSAS STATE,9.0515,8,5
43,WYOMING,7.8784,8,5
44,BOSTON COLLEGE,7.6376,7,6
45,MARSHALL,7.2928,8,5
46,CENTRAL MICHIGAN,7.2797,8,5
47,NORTHERN ILLINOIS,7.2136,8,5
48,FLORIDA INTERNATIONAL,7.1565,8,5
49,FLORIDA STATE,6.4415,7,6
50,SOUTHERN MISSISSIPPI,6.2204,8,5
51,HOUSTON,5.7201,7,5
52,UAB,5.3949,8,5
53,DUKE,4.5403,7,6
54,NAVY,4.2975,7,6
55,KENTUCKY,4.0902,7,6
56,TEXAS A&M,3.9723,7,6
57,TEXAS,3.7969,7,6
58,WEST VIRGINIA,3.7620,7,6
59,ARIZONA STATE,3.1022,7,6
60,PURDUE,3.0676,7,6
61,SMU,2.6530,7,6
62,LOUISIANA TECH,2.4379,7,6
63,OREGON,2.1474,7,6
64,UTAH,1.8470,7,6
65,TEMPLE,1.5770,7,6
66,GEORGIA STATE,0.3911,7,5
67,ARIZONA,0.3632,7,6
68,UTSA,-0.1702,6,5
69,MISSOURI,-0.2584,7,6
70,AKRON,-0.4194,7,7
71,UCLA,-1.6800,6,7
72,ARKANSAS STATE,-1.8467,7,5
73,TEXAS TECH,-1.8948,6,7
74,MIDDLE TENNESSEE STATE,-2.4880,7,6
75,OLE MISS,-2.7925,6,6
76,WESTERN MICHIGAN,-3.5067,6,6
77,COLORADO STATE,-3.6011,7,6
78,NEW MEXICO STATE,-4.4738,7,6
79,BUFFALO,-4.5774,6,6
80,VIRGINIA,-5.1137,6,7
81,GEORGIA TECH,-5.2121,5,6
82,VANDERBILT,-6.8995,5,7
83,TULANE,-7.3775,5,7
84,UTAH STATE,-7.6661,6,7
85,WESTERN KENTUCKY,-7.8549,6,7
86,MINNESOTA,-7.9615,5,7
87,CALIFORNIA,-8.3566,5,7
88,PITT,-8.5957,5,7
89,FLORIDA,-8.7363,4,7
90,COLORADO,-8.9398,5,7
91,AIR FORCE,-9.0951,5,7
92,INDIANA,-9.7147,5,7
93,EASTERN MICHIGAN,-9.9689,5,7
94,OLD DOMINION,-10.7436,5,7
95,MIAMI OH,-11.0718,5,7
96,SYRACUSE,-11.2517,4,8
97,NEBRASKA,-11.9743,4,8
98,MARYLAND,-12.0363,4,8
99,ARKANSAS,-12.4772,4,8
100,NEVADA-LAS VEGAS,-12.7766,5,7
101,LOUISIANA-LAFAYETTE,-12.9247,5,7
102,TENNESSEE,-13.1062,4,8
103,RUTGERS,-13.6840,4,8
104,CINCINNATI,-14.0467,4,8
105,LOUISIANA-MONROE,-14.2842,4,8
106,SOUTH ALABAMA,-14.6480,4,8
107,IDAHO,-14.7969,4,8
108,MASSACHUSETTS,-15.4839,4,8
109,BRIGHAM YOUNG,-15.8752,4,9
110,NORTH CAROLINA,-16.6774,3,9
111,EAST CAROLINA,-17.1026,3,9
112,NEW MEXICO,-17.4320,3,9
113,CONNECTICUT,-17.4554,3,9
114,NEVADA,-17.5413,3,9
115,HAWAII,-18.1412,3,9
116,COASTAL CAROLINA,-18.3905,3,9
117,TULSA,-19.3467,2,10
118,ILLINOIS,-19.6464,2,10
119,KENT STATE,-20.0687,2,10
120,BOWLING GREEN STATE,-20.1020,2,10
121,BALL STATE,-20.4286,2,10
122,TEXAS STATE,-20.4328,2,10
123,GEORGIA SOUTHERN,-20.5572,2,10
124,SAN JOSE STATE,-21.0517,2,11
125,RICE,-22.0682,1,11
126,KANSAS,-22.2466,1,11
127,BAYLOR,-22.3064,1,11
128,OREGON STATE,-22.3976,1,11
129,CHARLOTTE,-22.4583,1,11
130,UTEP,-23.8040,0,12
131,FCS,-44.5354,9,89
