RANK,TEAM,RATING,WINS,LOSSES
1,UCF,1.0000,13,0
2,ALABAMA,0.9980,13,1
3,GEORGIA,0.9910,13,2
4,WISCONSIN,0.9857,13,1
5,CLEMSON,0.9771,12,2
6,OHIO STATE,0.9740,12,2
7,OKLAHOMA,0.9679,12,2
8,PENN STATE,0.9572,11,2
9,TEXAS CHRISTIAN,0.9480,11,3
10,NOTRE DAME,0.9458,10,3
11,MICHIGAN STATE,0.9345,10,3
12,MIAMI FL,0.9303,10,3
13,AUBURN,0.9293,10,4
14,USC,0.9235,11,3
15,NORTHWESTERN,0.9100,10,3
16,MEMPHIS,0.9042,10,3
17,OKLAHOMA STATE,0.9024,10,3
18,WASHINGTON,0.8960,10,3
19,BOISE STATE,0.8904,11,3
20,STANFORD,0.8883,9,5
21,TROY,0.8761,11,2
22,WASHINGTON STATE,0.8706,9,4
23,SOUTH FLORIDA,0.8649,10,2
24,LSU,0.8632,9,4
25,MISSISSIPPI STATE,0.8540,9,4
26,IOWA,0.8477,8,5
27,SAN DIEGO STATE,0.8430,10,3
28,NORTH CAROLINA STATE,0.8377,9,4
29,FRESNO STATE,0.8317,10,4
30,ARMY,0.8243,10,3
31,SOUTH CAROLINA,0.8172,9,4
32,VIRGINIA TECH,0.8129,9,4
33,IOWA STATE,0.8045,8,5
34,FLORIDA ATLANTIC,0.7864,11,3
35,MICHIGAN,0.7813,8,5
36,WAKE FOREST,0.7731,8,5
37,BOSTON COLLEGE,0.7606,7,6
38,LOUISVILLE,0.7597,8,5
39,NORTH TEXAS,0.7523,9,5
40,KANSAS STATE,0.7442,8,5
41,FLORIDA STATE,0.7388,7,6
42,TOLEDO,0.7263,11,3
43,TEXAS,0.7181,7,6
44,WEST VIRGINIA,0.7146,7,6
45,ARIZONA STATE,0.7122,7,6
46,TEXAS A&M,0.6929,7,6
47,UTAH,0.6880,7,6
48,TEXAS TECH,0.6798,6,7
49,OREGON,0.6751,7,6
50,UCLA,0.6695,6,7
51,DUKE,0.6616,7,6
52,HOUSTON,0.6529,7,5
53,NAVY,0.6516,7,6
54,ARIZONA,0.6304,7,6
55,PURDUE,0.6296,7,6
56,KENTUCKY,0.6205,7,6
57,GEORGIA TECH,0.6005,5,6
58,MISSOURI,0.5897,7,6
59,SMU,0.5826,7,6
60,VIRGINIA,0.5756,6,7
61,OLE MISS,0.5710,6,6
62,APPALACHIAN STATE,0.5580,9,4
63,TEMPLE,0.5513,7,6
64,NORTHERN ILLINOIS,0.5402,8,5
65,WYOMING,0.5319,8,5
66,FLORIDA,0.5252,4,7
67,PITT,0.5219,5,7
68,OHIO,0.5136,9,4
69,CENTRAL MICHIGAN,0.5045,8,5
70,SYRACUSE,0.4959,4,8
71,CALIFORNIA,0.4855,5,7
72,AKRON,0.4785,7,7
73,VANDERBILT,0.4684,5,7
74,LOUISIANA TECH,0.4521,7,6
75,SOUTHERN MISSISSIPPI,0.4515,8,5
76,MARYLAND,0.4408,4,8
77,FLORIDA INTERNATIONAL,0.4334,8,5
78,MARSHALL,0.4274,8,5
79,INDIANA,0.4247,5,7
80,UAB,0.4107,8,5
81,TULANE,0.4035,5,7
82,MINNESOTA,0.3991,5,7
83,COLORADO,0.3958,5,7
84,WESTERN MICHIGAN,0.3757,6,6
85,MIDDLE TENNESSEE STATE,0.3707,7,6
86,NEBRASKA,0.3654,4,8
87,ARKANSAS,0.3630,4,8
88,TENNESSEE,0.3564,4,8
89,BUFFALO,0.3435,6,6
90,UTSA,0.3317,6,5
91,COLORADO STATE,0.3199,7,6
92,ARKANSAS STATE,0.3124,7,5
93,RUTGERS,0.3062,4,8
94,AIR FORCE,0.2992,5,7
95,NEW MEXICO STATE,0.2916,7,6
96,EASTERN MICHIGAN,0.2863,5,7
97,GEORGIA STATE,0.2828,7,5
98,UTAH STATE,0.2701,6,7
99,NORTH CAROLINA,0.2597,3,9
100,CINCINNATI,0.2494,4,8
101,WESTERN KENTUCKY,0.2474,6,7
102,OLD DOMINION,0.2437,5,7
103,MIAMI OH,0.2365,5,7
104,EAST CAROLINA,0.2088,3,9
105,CONNECTICUT,0.2061,3,9
106,NEVADA-LAS VEGAS,0.2019,5,7
107,LOUISIANA-MONROE,0.1955,4,8
108,LOUISIANA-LAFAYETTE,0.1911,5,7
109,BRIGHAM YOUNG,0.1896,4,9
110,SOUTH ALABAMA,0.1840,4,8
111,IDAHO,0.1770,4,8
112,MASSACHUSETTS,0.1662,4,8
113,NEW MEXICO,0.1638,3,9
114,NEVADA,0.1609,3,9
115,TULSA,0.1568,2,10
116,ILLINOIS,0.1508,2,10
117,HAWAII,0.1336,3,9
118,BOWLING GREEN STATE,0.1191,2,10
119,KENT STATE,0.1182,2,10
120,COASTAL CAROLINA,0.1134,3,9
121,SAN JOSE STATE,0.1041,2,11
122,BALL STATE,0.1011,2,10
123,OREGON STATE,0.0998,1,11
124,KANSAS,0.0960,1,11
125,BAYLOR,0.0952,1,11
126,TEXAS STATE,0.0885,2,10
127,GEORGIA SOUTHERN,0.0880,2,10
128,RICE,0.0815,1,11
129,CHARLOTTE,0.0673,1,11
130,UTEP,0.0554,0,12
131,FCS,0.0000,9,89
