Winner,Loser
Air Force,Virginia Military Institute
Air Force,Nevada-Las Vegas
Air Force,Nevada
Air Force,Colorado State
Air Force,Utah State
Akron,Arkansas-Pine Bluff
Akron,Bowling Green State
Akron,Ball State
Akron,Western Michigan
Akron,Buffalo
Akron,Ohio
Akron,Kent State
Alabama-Birmingham,Alabama A&M
Alabama-Birmingham,Coastal Carolina
Alabama-Birmingham,Louisiana Tech
Alabama-Birmingham,Middle Tennessee State
Alabama-Birmingham,Southern Mississippi
Alabama-Birmingham,Rice
Alabama-Birmingham,Texas-San Antonio
Alabama-Birmingham,Texas-El Paso
Alabama,Florida State
Alabama,Fresno State
Alabama,Colorado State
Alabama,Vanderbilt
Alabama,Mississippi
Alabama,Texas A&M
Alabama,Arkansas
Alabama,Tennessee
Alabama,Louisiana State
Alabama,Mississippi State
Alabama,Mercer
Alabama,Clemson
Alabama,Georgia
Appalachian State,Savannah State
Appalachian State,Texas State
Appalachian State,New Mexico State
Appalachian State,Idaho
Appalachian State,Coastal Carolina
Appalachian State,Georgia Southern
Appalachian State,Georgia State
Appalachian State,Louisiana-Lafayette
Appalachian State,Toledo
Arizona State,New Mexico State
Arizona State,Oregon
Arizona State,Washington
Arizona State,Utah
Arizona State,Colorado
Arizona State,Oregon State
Arizona State,Arizona
Arizona,Northern Arizona
Arizona,Texas-El Paso
Arizona,Colorado
Arizona,UCLA
Arizona,California
Arizona,Washington State
Arizona,Oregon State
Arkansas State,Arkansas-Pine Bluff
Arkansas State,Georgia Southern
Arkansas State,Coastal Carolina
Arkansas State,Louisiana-Lafayette
Arkansas State,New Mexico State
Arkansas State,Texas State
Arkansas State,Louisiana-Monroe
Arkansas,Florida A&M
Arkansas,New Mexico State
Arkansas,Mississippi
Arkansas,Coastal Carolina
Army,Fordham
Army,Buffalo
Army,Texas-El Paso
Army,Rice
Army,Eastern Michigan
Army,Temple
Army,Air Force
Army,Duke
Army,Navy
Army,San Diego State
Auburn,Georgia Southern
Auburn,Mercer
Auburn,Missouri
Auburn,Mississippi State
Auburn,Mississippi
Auburn,Arkansas
Auburn,Texas A&M
Auburn,Georgia
Auburn,Louisiana-Monroe
Auburn,Alabama
Ball State,Alabama-Birmingham
Ball State,Tennessee Tech
Baylor,Kansas
Boise State,Troy
Boise State,New Mexico
Boise State,Brigham Young
Boise State,San Diego State
Boise State,Wyoming
Boise State,Utah State
Boise State,Nevada
Boise State,Colorado State
Boise State,Air Force
Boise State,Fresno State
Boise State,Oregon
Boston College,Northern Illinois
Boston College,Central Michigan
Boston College,Louisville
Boston College,Virginia
Boston College,Florida State
Boston College,Connecticut
Boston College,Syracuse
Bowling Green State,Miami OH
Bowling Green State,Kent State
Brigham Young,Portland State
Brigham Young,San Jose State
Brigham Young,Nevada-Las Vegas
Brigham Young,Hawaii
Buffalo,Colgate
Buffalo,Florida Atlantic
Buffalo,Kent State
Buffalo,Bowling Green State
Buffalo,Ball State
Buffalo,Ohio
California,North Carolina
California,Weber State
California,Mississippi
California,Washington State
California,Oregon State
Central Florida,Florida International
Central Florida,Maryland
Central Florida,Memphis
Central Florida,Cincinnati
Central Florida,East Carolina
Central Florida,Navy
Central Florida,Austin Peay
Central Florida,Southern Methodist
Central Florida,Connecticut
Central Florida,Temple
Central Florida,South Florida
Central Florida,Memphis
Central Florida,Auburn
Central Michigan,Rhode Island
Central Michigan,Kansas
Central Michigan,Ohio
Central Michigan,Ball State
Central Michigan,Western Michigan
Central Michigan,Eastern Michigan
Central Michigan,Kent State
Central Michigan,Northern Illinois
Charlotte,Alabama-Birmingham
Cincinnati,Austin Peay
Cincinnati,Miami OH
Cincinnati,Tulane
Cincinnati,Connecticut
Clemson,Kent State
Clemson,Auburn
Clemson,Louisville
Clemson,Boston College
Clemson,Virginia Tech
Clemson,Wake Forest
Clemson,Georgia Tech
Clemson,North Carolina State
Clemson,Florida State
Clemson,Citadel
